_type,_id,name,type,latitude,longitude
Position,379727,"Paris, France",location,48.85341,2.3488
Position,379354,"Cormeilles-en-Parisis, France",location,48.97111,2.20491
Position,379890,"Seyssinet-Pariset, France",location,45.17676,5.69387
Position,436776,"Le Touquet-Paris-Plage, France",location,50.52432,1.58571
Position,438074,"Fontenay-en-Parisis, France",location,49.05371,2.45156
Position,378163,"Mustjala Parish, Estonia",location,58.462364196777344,22.23689842224121
Position,378237,"Salme Parish, Estonia",location,58.16200256347656,22.25274085998535
Position,378310,"Valjala Parish, Estonia",location,58.40635299682617,22.80088996887207
